iter	Passed	Remaining
0	56	56730
1	66	33116
2	75	25007
3	84	20983
4	93	18550
5	101	16868
6	110	15665
7	119	14756
8	127	14072
9	136	13505
10	144	13018
11	152	12560
12	160	12165
13	167	11794
14	175	11502
15	182	11231
16	190	10989
17	197	10774
18	204	10550
19	212	10395
20	219	10232
21	227	10098
22	233	9938
23	241	9831
24	249	9732
25	256	9616
26	263	9479
27	270	9384
28	277	9296
29	285	9217
30	292	9150
31	300	9094
32	307	9019
33	313	8912
34	320	8843
35	326	8742
36	334	8707
37	342	8665
38	349	8620
39	357	8572
40	364	8517
41	369	8435
42	375	8361
43	383	8323
44	390	8288
45	396	8219
46	404	8192
47	410	8150
48	418	8128
49	427	8127
50	435	8098
51	442	8071
52	449	8027
53	456	7991
54	463	7962
55	470	7931
56	477	7892
57	484	7869
58	491	7842
59	499	7822
60	506	7796
61	513	7774
62	521	7754
63	528	7729
64	534	7685
65	541	7664
66	548	7640
67	555	7611
68	562	7595
69	570	7580
70	577	7560
71	585	7543
72	593	7530
73	600	7516
74	608	7500
75	616	7497
76	624	7482
77	631	7468
78	638	7445
79	646	7431
80	654	7420
81	661	7409
82	669	7396
83	677	7385
84	684	7371
85	692	7356
86	699	7343
87	707	7330
88	714	7315
89	721	7294
90	729	7286
91	737	7276
92	744	7265
93	751	7243
94	759	7232
95	766	7218
96	774	7207
97	780	7183
98	788	7171
99	795	7161
100	803	7156
101	811	7144
102	820	7142
103	828	7141
104	836	7133
105	844	7122
106	852	7113
107	858	7093
108	866	7085
109	872	7062
110	880	7049
111	887	7036
112	895	7025
113	902	7014
114	908	6992
115	913	6959
116	919	6939
117	925	6919
118	931	6899
119	939	6889
120	947	6879
121	953	6859
122	958	6836
123	966	6829
124	974	6820
125	980	6803
126	988	6792
127	994	6773
128	1002	6768
129	1008	6749
130	1014	6731
131	1022	6724
132	1029	6709
133	1035	6691
134	1043	6684
135	1049	6665
136	1056	6656
137	1062	6639
138	1069	6623
139	1075	6606
140	1081	6589
141	1087	6573
142	1093	6556
143	1100	6540
144	1106	6525
145	1112	6510
146	1119	6494
147	1125	6479
148	1132	6468
149	1139	6459
150	1147	6450
151	1154	6442
152	1161	6430
153	1168	6421
154	1175	6406
155	1182	6395
156	1187	6378
157	1193	6362
158	1200	6348
159	1206	6332
160	1212	6318
161	1217	6297
162	1223	6282
163	1230	6274
164	1237	6264
165	1245	6255
166	1252	6246
167	1260	6241
168	1266	6226
169	1272	6213
170	1278	6200
171	1286	6192
172	1293	6182
173	1299	6169
174	1307	6162
175	1315	6159
176	1324	6158
177	1331	6148
178	1338	6140
179	1344	6125
180	1350	6113
181	1357	6099
182	1363	6086
183	1369	6073
184	1375	6060
185	1381	6047
186	1387	6034
187	1393	6020
188	1399	6006
189	1406	5995
190	1412	5981
191	1418	5969
192	1424	5956
193	1430	5943
194	1436	5930
195	1442	5918
196	1449	5909
197	1457	5901
198	1464	5896
199	1476	5906
200	1484	5899
201	1492	5897
202	1500	5889
203	1509	5890
204	1516	5881
205	1524	5874
206	1531	5867
207	1537	5854
208	1543	5841
209	1549	5830
210	1556	5819
211	1562	5807
212	1568	5795
213	1574	5784
214	1581	5772
215	1586	5760
216	1592	5747
217	1600	5739
218	1608	5737
219	1617	5734
220	1623	5722
221	1630	5713
222	1638	5708
223	1645	5701
224	1652	5690
225	1658	5679
226	1664	5666
227	1670	5654
228	1676	5642
229	1681	5631
230	1687	5619
231	1693	5607
232	1699	5595
233	1705	5584
234	1711	5572
235	1718	5562
236	1724	5551
237	1730	5540
238	1736	5529
239	1742	5518
240	1748	5506
241	1754	5495
242	1760	5484
243	1766	5472
244	1772	5463
245	1779	5453
246	1789	5455
247	1801	5462
248	1809	5457
249	1816	5449
250	1823	5440
251	1829	5429
252	1835	5418
253	1841	5407
254	1847	5397
255	1853	5386
256	1859	5375
257	1865	5363
258	1871	5352
259	1876	5341
260	1882	5330
261	1888	5320
262	1894	5309
263	1900	5298
264	1906	5288
265	1912	5277
266	1918	5266
267	1924	5256
268	1930	5246
269	1936	5235
270	1942	5225
271	1948	5215
272	1954	5204
273	1960	5195
274	1966	5185
275	1972	5174
276	1978	5164
277	1984	5154
278	1990	5144
279	1996	5134
280	2002	5124
281	2008	5114
282	2014	5104
283	2020	5094
284	2026	5084
285	2032	5074
286	2038	5064
287	2048	5063
288	2055	5056
289	2062	5049
290	2069	5042
291	2076	5035
292	2084	5028
293	2091	5022
294	2098	5015
295	2104	5006
296	2110	4996
297	2116	4986
298	2122	4976
299	2128	4967
300	2134	4957
301	2140	4947
302	2146	4937
303	2152	4927
304	2158	4918
305	2164	4908
306	2170	4899
307	2176	4889
308	2182	4880
309	2188	4870
310	2194	4862
311	2204	4860
312	2210	4852
313	2217	4843
314	2223	4834
315	2229	4825
316	2235	4815
317	2241	4806
318	2247	4797
319	2253	4787
320	2258	4778
321	2264	4769
322	2270	4759
323	2277	4750
324	2282	4741
325	2288	4732
326	2294	4723
327	2300	4713
328	2306	4704
329	2313	4696
330	2319	4687
331	2325	4678
332	2331	4669
333	2337	4661
334	2343	4652
335	2349	4643
336	2355	4633
337	2361	4625
338	2367	4616
339	2374	4608
340	2380	4600
341	2386	4591
342	2392	4582
343	2398	4573
344	2404	4564
345	2410	4555
346	2415	4546
347	2421	4537
348	2427	4528
349	2433	4519
350	2439	4510
351	2445	4501
352	2451	4493
353	2457	4484
354	2463	4475
355	2469	4467
356	2475	4459
357	2481	4450
358	2488	4442
359	2494	4433
360	2499	4425
361	2505	4416
362	2511	4407
363	2517	4399
364	2523	4390
365	2529	4382
366	2536	4374
367	2541	4365
368	2547	4356
369	2553	4348
370	2559	4340
371	2565	4331
372	2571	4323
373	2577	4314
374	2583	4306
375	2589	4297
376	2595	4289
377	2601	4280
378	2607	4272
379	2613	4264
380	2619	4255
381	2625	4247
382	2631	4239
383	2637	4231
384	2643	4222
385	2649	4214
386	2655	4206
387	2661	4197
388	2667	4189
389	2673	4181
390	2679	4172
391	2685	4164
392	2691	4156
393	2696	4148
394	2703	4140
395	2709	4131
396	2715	4124
397	2721	4115
398	2726	4107
399	2732	4099
400	2738	4091
401	2744	4083
402	2750	4075
403	2756	4067
404	2762	4058
405	2768	4050
406	2774	4042
407	2780	4034
408	2786	4026
409	2792	4018
410	2798	4010
411	2804	4002
412	2810	3994
413	2816	3986
414	2822	3979
415	2829	3972
416	2835	3964
417	2841	3956
418	2847	3948
419	2853	3940
420	2859	3932
421	2865	3925
422	2873	3920
